sku,name,author,regular_price,sale_price,quantity,publisher,edition,notes,cover,language,condition,images
20-11-096,বুদ্ধির খেলা,রকিব হাসান,40.0,,1,সেবা প্রকাশনী,2005.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/বুদ্ধির%20খেলা.jpg
20-11-098,দক্ষিণ যাত্রা,রকিব হাসান,40.0,,2,সেবা প্রকাশনী,1999.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/দক্ষিণ%20যাত্রা.jpg
20-11-099,বিষাক্ত অর্কিড,রকিব হাসান,40.0,,4,সেবা প্রকাশনী,1997.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/বিষাক্ত%20অর্কিড.jpg
20-11-100,বিষের ভয়,রকিব হাসান,40.0,,5,সেবা প্রকাশনী,1995.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/বিষের%20ভয়.jpg
20-11-101,অপারেশন অ্যালিগেটর,রকিব হাসান,40.0,,0,সেবা প্রকাশনী,2000.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/অপারেশন%20অ্যালিগেটর.jpg
20-11-102,অপারেশন কক্সবাজার,রকিব হাসান,40.0,,1,সেবা প্রকাশনী,1997.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/অপারেশন%20কক্সবাজার.jpg
20-11-103,ঝামেলা,রকিব হাসান,40.0,,0,সেবা প্রকাশনী,1994.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/ঝামেলা.jpg
20-11-104,রত্নের সন্ধানে,রকিব হাসান,40.0,,0,সেবা প্রকাশনী,2003.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/রত্নের%20সন্ধানে.jpg
20-11-106,স্পাইডারম্যান,রকিব হাসান,40.0,,2,সেবা প্রকাশনী,2002.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/স্পাইডারম্যান.jpg
20-11-109,দীঘির দানো,রকিব হাসান,40.0,,5,সেবা প্রকাশনী,1995.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/দীঘির%20দানো.jpg
20-11-113,আরেক ফ্র্যাঙ্কেনস্টাইন,রকিব হাসান,40.0,,2,সেবা প্রকাশনী,1998.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/আরেক%20ফ্র্যাঙ্কেনস্টাইন.jpg
20-11-114,নকশা,রকিব হাসান,40.0,,4,সেবা প্রকাশনী,1995.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/নকশা.jpg
20-11-122,চাঁদের ছায়া,রকিব হাসান,40.0,,2,সেবা প্রকাশনী,2000.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/চাঁদের%20ছায়া.jpg
20-11-125,হিমপিশাচের কবলে/গোপন ডায়েরি,শামসুদ্দীন নওয়াব,50.0,,2,সেবা প্রকাশনী,2006.0,দুটি বই একত্রে,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/হিমপিশাচের%20কবলেগোপন%20ডায়েরি.jpg
20-11-134,দ্বীপের মালিক,রকিব হাসান,40.0,,3,সেবা প্রকাশনী,1999.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/দ্বীপের%20মালিক.jpg
20-11-135,মারাত্মক ভুল,রকিব হাসান,40.0,,0,সেবা প্রকাশনী,1995.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/মারাত্মক%20ভুল.jpg
20-11-136,নির্জন উপত্যকা,রকিব হাসান,40.0,,2,সেবা প্রকাশনী,2006.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/নির্জন%20উপত্যকা.jpg
20-11-139,চ্যাম্পিয়ন গোয়েন্দা,শামসুদ্দীন নওয়াব,40.0,,0,সেবা প্রকাশনী,2005.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/চ্যাম্পিয়ন%20গোয়েন্দা.jpg
20-11-142,মূর্তির হুঙ্কার,রকিব হাসান,40.0,,0,সেবা প্রকাশনী,1994.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/মূর্তির%20হুঙ্কার.jpg
20-11-143,খুন,রকিব হাসান,40.0,,0,সেবা প্রকাশনী,1993.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/খুন.jpg
20-11-145,বুদ্ধির খেলা,রকিব হাসান,40.0,,1,সেবা প্রকাশনী,,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/বুদ্ধির%20খেলা.jpg
20-2-001,মরুস্বর্গ,কাজী আনোয়ার হোসেন,40.0,,1,সেবা প্রকাশনী,2011.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/মরুস্বর্গ.jpg
20-2-004,কনকতরী,কাজী আনোয়ার হোসেন,40.0,,0,সেবা প্রকাশনী,2003.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/কনকতরী.jpg
20-2-008,টেরোরিস্ট,কাজী আনোয়ার হোসেন,40.0,,9,সেবা প্রকাশনী,2012.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/টেরোরিস্ট.jpg
20-2-013,কমান্ডো মিশন,কাজী আনোয়ার হোসেন,40.0,,1,সেবা প্রকাশনী,2006.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/কমান্ডো%20মিশন.jpg
20-2-017,অমানুষ,কাজী আনোয়ার হোসেন,40.0,,0,সেবা প্রকাশনী,2007.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/অমানুষ.jpg
20-2-020,সর্পলতা,কাজী আনোয়ার হোসেন,40.0,,2,সেবা প্রকাশনী,2007.0,,Paperback,Bn,OLD,http://mdsalah.customerserver003003.eurhosting.net/WATERMARKED-2/সর্পলতা.jpg
